url_source,nom_recette,category,ingredients,instructions,difficulty,nbr_personne,temps_preparation,temps_cuisson,img_recipe_link
https://www.la-cuisine-marocaine.com/recettes/entrees-chaudes-903.html,Pâte à crêpes salée,Entrées Chaudes Marocaines,"1/2 litre de lait, 225 g de farine, 50 g de beurre fondu, 2 œufs, du sel, du poivre","Je vous propose une recette de Pâte à crêpes salée et quelques secrets pour les réussir. Verser le lait dans un mixeur, ajouter la farine, le beurre, les œufs, le sel et le poivre. Mixer le tout jusqu'à l'obtention d'une crème fluide, Laisser reposer pendant quelques minutes avant la cuisson. (On peut également utiliser un fouet manuel). Faire chauffer une poêle antiadhésive et la beurrer très légèrement. Verser la quantité d'une demi louche de pâte et l'incliner de façon à recouvrir tout son fond. Faire dorer la crêpe des deux côtés puis la déposer sur un linge propre. Continuer ainsi jusqu'à épuisement de la pâte.",facile,6 personnes,10min,20min,https://www.la-cuisine-marocaine.com/photos-recettes/pate-a-crepes-salee.jpg
https://www.la-cuisine-marocaine.com/recettes/entrees-chaudes-803.html,Salade de carottes cuites au cumin,Entrées Chaudes Marocaines,"4 grosses carottes, coupées en bâtons, 2 cuillères à soupe de jus de citron, 1 cuillère à café de graines de cumin, 2 cuillères à soupe d'huile d'olive extra vierge, 1 cuillère à café de miel, 1 pincée de cannelle moulue, une pincée de piment de Cayenne, 2 cuillères à soupe de coriandre hachée, 2 cuillères à soupe de pistaches hachées",,facile,6 personnes,10min,10min,https://www.la-cuisine-marocaine.com/photos-recettes/salade-carottes-cuites-cumin.jpg
https://www.la-cuisine-marocaine.com/recettes/entrees-chaudes-766.html,Galette de riz à la viande hachée,Entrées Chaudes Marocaines,"750 g de viande hachée nature, 1 oignon émincé et sué, 4 gousses d'ail écrasées, 100 g de riz Basmati cuit, 3 c.à.s. de ketchup, 2 c.à.s. de coriandre hachée, 2 c.à.s. de persil haché, du sel, 1/2 c.à.s. de poivre, 1/4 de c.à.c. de cumin, 1/4 de c.à.s. de coriandre séchée, 1/4 de c.à.c d'anis, 1/4 de c. à. c. de cannelle en poudre, une pincée de noix de muscade râpée, 1/2 c.à.s. de piment fort pilé, 1 pincée de clou de girofle moulu","J'aime la galette, encore mieux quand il y a de la viande hachée dedans :) Découvrez cette recette de Galette de riz à la viande hachée toute simple et rapide pour varier la préparation du riz et le servir autrement. La galette de riz est une variante de la galette de pommes de terre, elle est plus légère je trouve. J’aime bien servir cette galette de riz à la viande hachée avec une salade printanière, pour avoir un repas bien complet et équilibré. Une recette très bien parfumée aux épices: poivre, cumin, coriandre, anis, cannelle, clou de girofle, noix de muscade, avec de la coriandre et persil , un délice subtilement parfumé. Mélanger le poivre, le cumin, la coriandre séchée, l'anis, la cannelle, la noix de muscade, le piment fort et le clou de girofle. Dans un récipient, mettre la viande hachée avec l'oignon sué, l'ail, le sel, le persil et la coriandre hachés, le ketchup et le riz. Assaisonner avec 2 c.à.c. de mélange d'épices et mélanger jusqu'à homogénéisation. Étaler la viande hachée dans une plaque allant au four. Saupoudrer d'épices, recouvrir de papier aluminium et faire cuire au four préchauffé à 180°C pendant 20 mn. Astuce : Au cours de cuisson, on peut prélever le jus de cuisson et préparer une sauce tomate avec et la servir accompagnée de la galette. Vous pouvez aussi faire des mini galettes individuelles tout comme les galettes de pommes de terre. Ces galettes peuvent accompagner une viande mais elles peuvent aussi être servies avec une salade verte pour un repas plus léger. Cs7YW8.99",facile,6 personnes,40min,20min,https://www.la-cuisine-marocaine.com/photos-recettes/galette-riz-viande-hachee.jpg
https://www.la-cuisine-marocaine.com/recettes/entrees-chaudes-765.html,Salade de courgettes et d'aubergines à l'orientale,Entrées Chaudes Marocaines,"2 petites aubergines, 3 petites courgettes, 2 c. à soupe d'huile, 8 brins de coriandre, hachée, 1/2 jus de citron, 1/2 jus d'orange, 1/2 c. à café de poivre noir moulu","Couper en deux les aubergines, les débiter en demi-rondelles fines saupoudrer de sel. Laisser dégorger 15-20 minutes. Les mettre dans une passoire et les saupoudrer de sel Couper les courgettes en longs rubans fins. Rincer les tranches d'aubergines, les sécher avec du papier absorbant. Badigeonner d'huile les deux faces et les disposer dans un plat à four. Sous le gril chaud, faire dorer les tranches, 3 minutes de chaque côté. Faire griller les aubergines huilées. 3 minutes de chaque côté. Dans un saladier, disposer aubergines et courgettes, parsemer de coriandre, poivrer, verser les jus de fruits et l'huile, remuer.",facile,6 personnes,25min,6min,https://www.la-cuisine-marocaine.com/photos-recettes/01-salade-de-courgettes-et-d-aubergines-a-l-orientale.jpg
https://www.la-cuisine-marocaine.com/recettes/entrees-chaudes-764.html,Boulettes de poulet au pistaches,Entrées Chaudes Marocaines,"400 g de poulet haché, 60g de pistaches hachées, 2 cs d'huile d'olive, 100 g de farine, 1/4 cc de cannelle en poudre, 1/2 cc de curcuma en poudre, 1 oeuf légèrement battu, 1 cc de graines de coriandre moulues, 2 cs de chapelure, quartiers de citron, sel & poivre","Dans 1 bol, mélanger le poulet haché, la chapelure, les pistaches, l'oeuf, le curcuma, la cannelle, la coriandre, le sel et le poivre. Prélever le mélange par cuillerées, former des boulettes et les rouler dans la farine. Chauffer l'huile. Faire rissoler à feu vif la moitié des boulettes, en les retournant fréquemment. Faire de même avec l'autre moitié. Les égoutter sur du papier absorbant. Servir avec du citron.",facile,8 personnes,10min,10min,https://www.la-cuisine-marocaine.com/photos-recettes/01-boulettes-de-poulet-au-pistaches.jpg
https://www.la-cuisine-marocaine.com/recettes/entrees-chaudes-762.html,Briouates au fromage blanc et cachir,Entrées Chaudes Marocaines,"10 feuilles de brick, 1 saucisson (cachir) volailles, boeuf,, Des olives vertes dénoyautées et coupées en rondelles, 50g de fromage blanc(jben ou jebli), Fromage râpé, 1 gros oignon, Persil haché ou thym, 1 pincée de cumin, Huile pour friture, Sel et poivre","Dans une poêle, faites chauffer un peu d'huile, y faire revenir l'oignon émincé, il doit cuire et devenir translucide, assaisonnez de sel, de poivre et de cumin, rajoutez du persil haché ou du thym. Laissez refroidir. Râpez avec les gros trous de votre râpe le saucisson. Mélangez les oignons, le saucisson râpé et le fromage râpé et blanc; votre farce est prête. Façonnez vos briouates en triangles ou en cigare. Faites frire les briouates dans un peu d'huile bien chaude. Servez sans attendre. Retrouvez le pliage des briouates en vidéo : ",facile,4 personnes,25min,20min,https://www.la-cuisine-marocaine.com/photos-recettes/01-briouates-au-fromage-blanc-et-cachir.jpg
https://www.la-cuisine-marocaine.com/recettes/entrees-chaudes-761.html,Pâtes au thon et haricots verts,Entrées Chaudes Marocaines,"350g fusilli, 2 tomates moyennes , épépinées , coupées en petits dés, 200g de haricots verts frais , coupées transversalement en morceaux de 5 cm de long, 2 boîtes de thon à l'eau de 185g, 1 oignon brun moyen, haché finement, 4 gousses d'ail , hachées finement, 4 grandes branches de thym frais , feuilles enlevées, 1/2 cuillère à café de flocons de piment séché, 1/2 tasse d'huile d'olive","Porter une grande casserole d'eau salée à ébullition à feu vif . Ajouter les haricots et cuire pendant 15 minutes A l'aide d'une écumoire , retirer les haricots et transférer dans un bol d'eau glacée et laisser refroidir complètement . Égoutter les haricots bien . Cuire les fusilli dans l'eau bouillante selon les instructions du paquet , en remuant souvent . Égoutter les pâtes , en réservant 2/3 tasse d'eau . Pendant ce temps , faire chauffer la moitié de l' huile dans une grande poêle , à fond épais . Ajouter l'oignon , l'ail et une pincée de sel dans la casserole et faites cuire pendant 1 min , ou jusqu'à tendreté . Ajouter les tomates , les brins de thym et les flocons de piment et cuire pendant 3 minutes ou jusqu'à ce que les tomates soient tendres. Assaisonner au goût avec du poivre noir fraîchement moulu . Ajouter l'eau de cuisson réservée , les haricots et l'huile restante au mélange de tomates . Ajouter les pâtes et le thon et mélanger pour bien enrober , en brisant doucement thon avec une cuillère en grandes bouchées . Servir immédiatement .",facile,4 personnes,10min,15min,https://www.la-cuisine-marocaine.com/photos-recettes/01-pates-au-thon-et-haricots-verts.jpg
https://www.la-cuisine-marocaine.com/recettes/entrees-chaudes-759.html,Mini Harcha farcie aux olives noires,Entrées Chaudes Marocaines,"500g de semoule fine, 350ml d’eau, levure fraiche, 1/2 sachet de levure chimique, 100ml l’huile d’olive, 1 CAS de beurre, 1 CAS de beurre, Sel, 250 g de Fromage aux herbes, 50g d’olive noir en rondelle","Dans un saladier, mettre la semoule, le sel, le sucre, la levure, l’huile, beurre, sabler la pâte avec les mains. Ajouter l’eau et mélanger le tout. Chauffer poêle, former une petite boule, l’aplatir un peu mettez le fromage , l’olive, les travailler 2 fois saupoudré de semoule fine et faire cuire. Saupoudrer le dessus de harcha et cuire l’autre face.",facile,6 personnes,60min,30min,https://www.la-cuisine-marocaine.com/photos-recettes/Mini-Harcha.jpg
https://www.la-cuisine-marocaine.com/recettes/entrees-chaudes-758.html,Mhancha à la kefta et légumes,Entrées Chaudes Marocaines,"10 feuilles de pastilla, 1 œuf • 100 g de beurre fondu, Pour les légumes:, 200 g de carottes+ 200 g de petits pois, 200 g de navets+200 g de pommes de terre, 1 kg d'épinards1 gousse d'ail • 3 branches de persil • 3 branches de coriandre, 50 g de beurre • 1/2 c. à café de paprika • 1/2 c. à café de cumin • 1 c. à café de sel, Pour la kefta:, 500 g de viande hachée, 3 œufs• 200 g d'oignons • 3 gousses d'ail, 3 c. à soupe de persil haché2 c. à soupe d'huile de table • 1 c. à café de sel • 1/2 c. à café de po, 3 c. à soupe de coriandre hachée • 1/2 c. à café de cumin, 1/2 c. à café de paprika • 1 c. à café de cannelle, • 1/2 c. à café de gingembre • 1 branche de marjolaine • 2 feuilles de menthe, Pour décorer: quartiers de citron • tomates","Découvrez la Mhancha à la kefta et légumes, cette version de mhancha Salée, il s'agit de la base d'une une pâtisserie Marocaine feuilletée circulaire fourrée aux amandes et nappée de miel. Eplucher les légumes et les couper en petits dés. Ecosser les petits pois, équeuter les épinards et les laver. Blanchir tous les légumes séparément dans de l'eau salée. Dans une poêle, faire sauter les épinards dans 50 g de beurre avec le paprika, le persil, la coriandre, le cumin et la gousse d'ail hachée pendant 5 mn. Dans une autre poêle, faire chauffer l'huile, y faire dorer l'oignon et l'ail. Ajouter la viande hachée émiettée, les épices et les herbes ciselées. Lorsque la viande est cuite, ajouter les oeufs et mélanger. Dans un bol, mélanger les légumes avec la viande hachée et les épinards et laisser refroidir. Confectionner des m'hanchas. Sur le plan de travail, déposer deux demi-feuilles de brick en longueur pour obtenir un ruban de feuille de brick long. Déposer par-dessus, un long boudin de farce. Plier la longue feuille de brick autour du boudin de farce et la badigeonner de beurre. Badigeonner la tête du rouleau farci avec du blanc d'oeuf. Enrouler le rouleau de mhancha sur lui-même. Continuer à le rouler pour lui donner une forme d'escargot. Badigeonner l'extrémité du rouleau farci avec du blanc d'oeuf pour le coller à la mhancha. Répéter l'opération pour obtenir 4 mhanchas. Les disposer sur une plaque tapissée de papier sulfurisé, les badigeonner de beurre fondu et les faire cuire au four pendant 15 mn à 180° C.",facile,6 personnes,25min,30min,https://www.la-cuisine-marocaine.com/photos-recettes/01-mhancha-a-la-kefta-et-legumes.jpg
https://www.la-cuisine-marocaine.com/recettes/entrees-chaudes-757.html,Briouates aux épinards et chèvre,Entrées Chaudes Marocaines,"500gr d'épinards en botte, 1 bûche de chèvre, 12 feuilles de bricks, 1 cuillère à soupe d'huile d'olive, 1 oeuf, 30g de pignons de pin, sel et poivre noir du moulin, huile","Faites revenir les épinards coupés grossissement dans l'huile d'olive dans une sauteuse à feu vif Rajouter la bûche en petits carrés, puis les pignons de pin un peu grillé, puis un oeuf, sel et poivre. Couper les feuilles de brick en deux, badigeonnées d'huile à l'aide d'un pinceau. Prenez une cuillère à soupe de farce et mettez-la au début de la feuille de brick. On replie la feuille de brick en deux. On rabat au dessus vers la droite pour former un triangle après vers la gauche et ainsi de suite en changeant de côté à chaque fois.- Collez le bout de la feuille de brick qui reste à la fin avec de la farine (mélangée avec l'eau). On met nos triangles dans un plat à four et à l'aide d'un pinceau on badigeonne d'huile. Mettez-les dans un four préchauffé à 180°c jusqu’à ce qu'ils deviennent bien dorés. Retrouvez le pliage des briouates en vidéo : ",facile,6 personnes,20min,15min,https://www.la-cuisine-marocaine.com/photos-recettes/01-briouates-aux-epinards-e-chevre.jpg
https://www.la-cuisine-marocaine.com/recettes/entrees-chaudes-755.html,Batata mchermla,Entrées Chaudes Marocaines,"750g de pommes de terre, 4 gousses d'ail, 1 c. à café de piment en poudre, 1 c. à café de cumin en poudre, 1 c. à café de curcuma, 2 c. à soupe d'huile d'olives, 1 bouquet garni ciselé, Sel","Épluchez, lavez et coupez les pommes de terre en long comme pour les frites. Salez, faites-les dorez dans une friture. Retirez-les et égouttez-les. Faites une sauce avec l'huile, l'ail, les épices, les herbes ciselés et le sel, faites cuire le tout pendant 2 minutes et nappez les frites de cette sauce. Servez frais.",facile,6 personnes,15min,20min,https://www.la-cuisine-marocaine.com/photos-recettes/01-batata-mchermla.jpg
